ちんじゅふかいいき	鎮守府海域	固有名詞
ちんじゅふしょうめんかいいき	鎮守府正面海域	固有名詞	1-1
きんかいけいび	近海警備	固有名詞	1-1作戦名
なんせいしょとうおき	南西諸島沖	固有名詞	1-2
なんせいしょとうおきけいび	南西諸島沖警備	固有名詞	1-2作戦名
せいゆじょちたいえんがん	製油所地帯沿岸	固有名詞	1-3
かいじょうごえいさくせん	海上護衛作戦	固有名詞	1-3作戦名
なんせいしょとうぼうえいせん	南西諸島防衛戦	固有名詞	1-4
なんいちごうさくせん	南1号作戦	固有名詞	1-4作戦名
なん1ごうさくせん	南1号作戦	固有名詞	1-4作戦名
ちんじゅふきんかい	鎮守府近海	固有名詞	EO/1-5
ちんじゅふきんかいたいせんしょうかい	鎮守府近海対潜哨戒	固有名詞	EO/1-5作戦名
ちんじゅふきんかいこうろ	鎮守府近海航路	固有名詞	EO/1-6
ゆそうせんだんごえいさくせん	輸送船団護衛作戦	固有名詞	EO/1-6作戦名

なんせいしょとうかいいき	南西諸島海域	固有名詞
かむらんはんとう	カムラン半島	固有名詞	2-1
かごうげいげきせん	カ号迎撃戦	固有名詞	2-1作戦名
ばしーとうおき	バシー島沖	固有名詞	2-2
やなぎゆそうさくせん	柳輸送作戦	固有名詞	2-2作戦名
とうぶおりょーるかい	東部オリョール海	固有名詞	2-3
おーいちごうさくせん	O1号作戦	固有名詞	2-3作戦名
Oいちごうさくせん	O1号作戦	固有名詞	2-3作戦名
おー1ごうさくせん	O1号作戦	固有名詞	2-3作戦名
O1ごうさくせん	O1号作戦	固有名詞	2-3作戦名
おきのしまかいいき	沖ノ島海域	固有名詞	2-4
あごうかんたいけっせん	あ号艦隊決戦	固有名詞	2-4作戦名
おきのしまおき	沖ノ島沖	固有名詞	EO/2-5
おきのしませんとうしょうかい	沖ノ島戦闘哨戒	固有名詞	EO/2-5作戦名

ほっぽうかいいき	北方海域	固有名詞
もーれいかい	モーレイ海	固有名詞	3-1
もーれいかいしょうかい	モーレイ海哨戒	固有名詞	3-1作戦名
きすとうおき	キス島沖	固有名詞	3-2
きすとうてったいさくせん	キス島撤退作戦	固有名詞	3-2作戦名
あるふぉんしーのほうめん	アルフォンシーノ方面	固有名詞	3-3
あるふぉんしーのほうめんしんしゅつ	アルフォンシーノ方面進出	固有名詞	3-3作戦名
ほっぽうかいいきぜんいき	北方海域全域	固有名詞	3-4
ほっぽうかいいきかんたいけっせん	北方海域艦隊決戦	固有名詞	3-4作戦名
ほっぽうえーえるかいいき	北方AL海域	固有名詞	EO/3-5
ほっぽうalかいいき	北方AL海域	固有名詞	EO/3-5
ほっぽうかいいき	北方海域戦闘哨戒	固有名詞	EO/3-5作戦名

せいほうかいいき	西方海域	固有名詞
じゃむとうこうりゃくさくせん	ジャム島攻略作戦	固有名詞	4-1
じゃむとうこうりゃくさくせん	ジャム島攻略作戦	固有名詞	4-1作戦名
かれーようせいあつせん	カレー洋制圧戦	固有名詞	4-2
かれーようせいあつせん	カレー洋制圧戦	固有名詞	4-2作戦名
りらんかとうくうしゅう	リランカ島空襲	固有名詞	4-3
りらんかとうくうしゅう	リランカ島空襲	固有名詞	4-3作戦名
かすだがまおきかいせん	カスダガマ沖海戦	固有名詞	4-4
かすだがまおきかいせん	カスダガマ沖海戦	固有名詞	4-4作戦名
かれーようりらんかとうおき	カレー洋リランカ島沖	固有名詞	EO/4-5
しんかいとうようかんたいせんめつさくせん	深海東洋艦隊殲滅作戦	固有名詞	EO/4-5作戦名

なんぽうかいいき	南方海域	固有名詞
なんぽうかいいきぜんめん	南方海域前面	固有名詞	5-1
なんぽうかいいきしんしゅつさくせん	南方海域浸出作戦	固有名詞	5-1作戦名
さんごしょとうおき	珊瑚諸島沖	固有名詞	5-2
さんごしょとうおきかいせん	珊瑚諸島沖海戦	固有名詞	5-2作戦名
さぶとうおきかいいき	サブ島沖海域	固有名詞	5-3
だいいちじさーもんおきかいせん	第一次サーモン沖海戦	固有名詞	5-3作戦名
だい1じさーもんおきかいせん	第一次サーモン沖海戦	固有名詞	5-3作戦名
さーもんかいいき	サーモン海域	固有名詞	5-4
とうきょうきゅうこう	東京急行	固有名詞	5-4作戦名
さーもんかいいきほっぽう	サーモン海域北方	固有名詞	EO/5-5
だいにじさーもんおきかいせん	第二次サーモン沖海戦	固有名詞	EO/5-5作戦名
だい2じさーもんおきかいせん	第二次サーモン沖海戦	固有名詞	EO/5-5作戦名

ちゅうぶかいいき	中部海域	固有名詞
ちゅうぶかいいきしょうかいせん	中部海域哨戒戦	固有名詞	6-1
せんすいかんさくせん	潜水艦作戦	固有名詞	6-1作戦名
えむえすしょとうおき	MS諸島沖	固有名詞	6-2
msしょとうおき	MS諸島沖	固有名詞	6-2
えむえすしょとうぼうえいせん	MS諸島防衛戦	固有名詞	6-2作戦名
msしょとうぼうえいせん	MS諸島防衛戦	固有名詞	6-2作戦名
ぐあのかんしょうおきかいいき	グアノ環礁沖海域	固有名詞	6-3
けーさくせん	K作戦	固有名詞	6-3作戦名
Kさくせん	K作戦	固有名詞	6-3作戦名
ちゅうぶきたかいいきぴーこっくとうおき	中部北海域ピーコック島沖	固有名詞	6-4
りとうさいこうりゃくさくせん	離島再攻略作戦	固有名詞	6-4作戦名
けーだぶりゅーかんしょうおきかいいき	KW環礁沖海域	固有名詞	EO/6-5
kwかんしょうおきかいいき	KW環礁沖海域	固有名詞	EO/6-5
くうぼきどうぶたいげいげきせん	空母機動部隊迎撃戦	固有名詞	EO/6-5作戦名
